기준년월,기초지자체,중분류,소비액(천원)
20220204,천안시 서북구,골프장,10621
20220204,천안시 서북구,기타레저,3555
20220204,천안시 서북구,문화서비스,2029
20220204,천안시 서북구,식음료,243323
20220204,천안시 서북구,관광기념품,167
20220205,천안시 서북구,호텔,3098
20220205,천안시 서북구,기타숙박,16121
20220205,천안시 서북구,관광기념품,142
20220205,천안시 서북구,레저용품쇼핑,49268
20220205,천안시 서북구,대형쇼핑몰,334994
20220205,천안시 서북구,골프장,9706
20220205,천안시 서북구,기타레저,5298
20220205,천안시 서북구,문화서비스,4311
20220205,천안시 서북구,식음료,314565
20220206,천안시 서북구,호텔,886
20220206,천안시 서북구,기타숙박,11228
20220206,천안시 서북구,레저용품쇼핑,36186
20220206,천안시 서북구,대형쇼핑몰,337780
20220206,천안시 서북구,골프장,8936
20220206,천안시 서북구,기타레저,5338
20220206,천안시 서북구,문화서비스,3074
20220206,천안시 서북구,식음료,235703
20220207,천안시 서북구,호텔,867
20220207,천안시 서북구,기타숙박,12123
20220207,천안시 서북구,레저용품쇼핑,31857
20220207,천안시 서북구,대형쇼핑몰,103864
20220207,천안시 서북구,골프장,8623
20220207,천안시 서북구,기타레저,4888
20220207,천안시 서북구,문화서비스,1886
20220207,천안시 서북구,식음료,191079
20220207,천안시 서북구,관광기념품,239
20220208,천안시 서북구,기타숙박,12605
20220208,천안시 서북구,레저용품쇼핑,24068
20220208,천안시 서북구,대형쇼핑몰,112236
20220208,천안시 서북구,골프장,5854
20220208,천안시 서북구,기타레저,6942
20220208,천안시 서북구,문화서비스,1857
20220208,천안시 서북구,식음료,214207
20220208,천안시 서북구,관광기념품,879
20220209,천안시 서북구,기타숙박,13439
20220209,천안시 서북구,관광기념품,1071
20220209,천안시 서북구,레저용품쇼핑,28384
20220209,천안시 서북구,대형쇼핑몰,134062
20220209,천안시 서북구,골프장,6387
20220209,천안시 서북구,기타레저,2628
20220209,천안시 서북구,문화서비스,1422
20220209,천안시 서북구,식음료,225400
20220210,천안시 서북구,호텔,907
20220210,천안시 서북구,기타숙박,13002
20220210,천안시 서북구,레저용품쇼핑,27302
20220210,천안시 서북구,대형쇼핑몰,121264
20220210,천안시 서북구,골프장,8232
20220210,천안시 서북구,기타레저,3424
20220210,천안시 서북구,문화서비스,2688
20220210,천안시 서북구,식음료,243936
20220210,천안시 서북구,관광기념품,335
20220210,천안시 서북구,관광유원시설,151
20220211,천안시 서북구,호텔,2186
20220211,천안시 서북구,기타숙박,15314
20220211,천안시 서북구,레저용품쇼핑,37904
20220211,천안시 서북구,대형쇼핑몰,199449
20220211,천안시 서북구,골프장,7311
20220211,천안시 서북구,기타레저,3171
