기준년월,기초지자체,방문자 구분,방문자 수
2022-01-27,천안시 동남구,외지인방문자(b),101640.0
2022-01-27,천안시 동남구,전체방문자(a+b+c),227450.0
2022-01-27,천안시 동남구,현지인방문자(a),125794.0
2022-01-27,천안시 서북구,외국인방문자(c),22.0
2022-01-27,천안시 서북구,외부방문자(b+c),97969.0
2022-01-27,천안시 서북구,외지인방문자(b),97948.0
2022-01-27,천안시 서북구,전체방문자(a+b+c),229261.0
2022-01-27,천안시 서북구,현지인방문자(a),131292.0
2022-01-28,천안시 동남구,외국인방문자(c),19.0
2022-01-28,천안시 동남구,외부방문자(b+c),108491.0
2022-01-28,천안시 동남구,외지인방문자(b),108472.0
2022-01-28,천안시 동남구,전체방문자(a+b+c),235121.0
2022-01-28,천안시 동남구,현지인방문자(a),126630.0
2022-01-28,천안시 서북구,외국인방문자(c),30.0
2022-01-28,천안시 서북구,외부방문자(b+c),101775.0
2022-01-28,천안시 서북구,외지인방문자(b),101745.0
2022-01-28,천안시 서북구,전체방문자(a+b+c),233697.0
2022-01-28,천안시 서북구,현지인방문자(a),131922.0
2022-01-29,천안시 동남구,외국인방문자(c),16.0
2022-01-29,천안시 동남구,외부방문자(b+c),122390.0
2022-01-29,천안시 동남구,외지인방문자(b),122374.0
2022-01-29,천안시 동남구,전체방문자(a+b+c),236126.0
2022-01-29,천안시 동남구,현지인방문자(a),113736.0
2022-01-29,천안시 서북구,외국인방문자(c),28.0
2022-01-29,천안시 서북구,외부방문자(b+c),110264.0
2022-01-29,천안시 서북구,외지인방문자(b),110236.0
2022-01-29,천안시 서북구,전체방문자(a+b+c),227636.0
2022-01-29,천안시 서북구,현지인방문자(a),117372.0
2022-01-30,천안시 동남구,외국인방문자(c),15.0
2022-01-30,천안시 동남구,외부방문자(b+c),123166.0
2022-01-30,천안시 동남구,외지인방문자(b),123151.0
2022-01-30,천안시 동남구,전체방문자(a+b+c),226321.0
2022-01-30,천안시 동남구,현지인방문자(a),103156.0
2022-01-30,천안시 서북구,외국인방문자(c),29.0
2022-01-30,천안시 서북구,외부방문자(b+c),104371.0
2022-01-30,천안시 서북구,외지인방문자(b),104342.0
2022-01-30,천안시 서북구,전체방문자(a+b+c),209028.0
2022-01-30,천안시 서북구,현지인방문자(a),104657.0
2022-01-31,천안시 동남구,외국인방문자(c),16.0
2022-01-31,천안시 동남구,외부방문자(b+c),128756.0
2022-01-31,천안시 동남구,외지인방문자(b),128740.0
2022-01-31,천안시 동남구,전체방문자(a+b+c),221636.0
2022-01-31,천안시 동남구,현지인방문자(a),92880.0
2022-01-31,천안시 서북구,외국인방문자(c),20.0
2022-01-31,천안시 서북구,외부방문자(b+c),105811.0
