기준년월,기초지자체,중분류,소비액(천원)
20220128,천안시 동남구,관광유원시설,386
20220128,천안시 동남구,골프장,20963
20220128,천안시 동남구,기타레저,1372
20220128,천안시 동남구,문화서비스,1779
20220128,천안시 동남구,식음료,232525
20220129,천안시 동남구,호텔,545
20220129,천안시 동남구,콘도,9809
20220129,천안시 동남구,캠핑장/펜션,276
20220129,천안시 동남구,기타숙박,6414
20220129,천안시 동남구,레저용품쇼핑,23422
20220129,천안시 동남구,대형쇼핑몰,263165
20220129,천안시 동남구,관광유원시설,245
20220129,천안시 동남구,골프장,31255
20220129,천안시 동남구,기타레저,2457
20220129,천안시 동남구,문화서비스,2603
20220129,천안시 동남구,식음료,278188
20220130,천안시 동남구,호텔,440
20220130,천안시 동남구,콘도,14658
20220130,천안시 동남구,캠핑장/펜션,330
20220130,천안시 동남구,기타숙박,6468
20220130,천안시 동남구,관광기념품,535
20220130,천안시 동남구,레저용품쇼핑,11846
20220130,천안시 동남구,대형쇼핑몰,214398
20220130,천안시 동남구,관광유원시설,1110
20220130,천안시 동남구,골프장,33000
20220130,천안시 동남구,기타레저,1978
20220130,천안시 동남구,문화서비스,3238
20220130,천안시 동남구,식음료,245804
20220131,천안시 동남구,호텔,485
20220131,천안시 동남구,콘도,19725
20220131,천안시 동남구,캠핑장/펜션,44
20220131,천안시 동남구,기타숙박,3577
20220131,천안시 동남구,관광기념품,388
20220131,천안시 동남구,레저용품쇼핑,9944
20220131,천안시 동남구,대형쇼핑몰,61849
20220131,천안시 동남구,관광유원시설,398
20220131,천안시 동남구,골프장,26212
20220131,천안시 동남구,기타레저,2446
20220131,천안시 동남구,문화서비스,2629
20220131,천안시 동남구,식음료,205254
20220101,천안시 동남구,호텔,200
20220101,천안시 동남구,콘도,5900
20220101,천안시 동남구,렌터카,288
20220102,천안시 동남구,콘도,5604
20220102,천안시 동남구,렌터카,0
20220103,천안시 동남구,호텔,275
20220103,천안시 동남구,렌터카,0
20220103,천안시 동남구,관광기념품,143
20220104,천안시 동남구,호텔,80
20220105,천안시 동남구,호텔,100
20220105,천안시 동남구,렌터카,110
20220106,천안시 동남구,렌터카,0
20220107,천안시 동남구,호텔,120
20220108,천안시 동남구,콘도,3652
20220109,천안시 동남구,호텔,475
20220109,천안시 동남구,콘도,3758
20220110,천안시 동남구,렌터카,90
20220110,천안시 동남구,관광기념품,228
20220111,천안시 동남구,렌터카,5
20220112,천안시 동남구,렌터카,0
20220112,천안시 동남구,관광기념품,45
20220113,천안시 동남구,렌터카,38
20220113,천안시 동남구,관광기념품,206
20220114,천안시 동남구,호텔,0
20220114,천안시 동남구,렌터카,0
20220116,천안시 동남구,렌터카,27
20220117,천안시 동남구,렌터카,0
20220117,천안시 동남구,관광기념품,439
20220118,천안시 동남구,렌터카,11
20220118,천안시 동남구,관광기념품,1022
20220119,천안시 동남구,렌터카,0
20220119,천안시 동남구,관광기념품,156
20220120,천안시 동남구,호텔,70
20220121,천안시 동남구,호텔,120
20220122,천안시 동남구,호텔,95
20220122,천안시 동남구,렌터카,88
20220123,천안시 동남구,렌터카,9
20220124,천안시 동남구,호텔,105
20220124,천안시 동남구,렌터카,0
20220125,천안시 동남구,관광기념품,0
20220126,천안시 동남구,호텔,100
20220126,천안시 동남구,렌터카,56
20220127,천안시 동남구,렌터카,165
20220127,천안시 동남구,관광기념품,288
20220128,천안시 동남구,렌터카,0
20220128,천안시 동남구,관광기념품,469
20220129,천안시 동남구,관광기념품,67
20220129,천안시 동남구,렌터카,275
20220130,천안시 동남구,렌터카,176
20220131,천안시 동남구,렌터카,33
20220201,천안시 동남구,관광총소비,206389
20220202,천안시 동남구,관광총소비,416481
20220203,천안시 동남구,관광총소비,313469
20220204,천안시 동남구,관광총소비,318222
20220205,천안시 동남구,관광총소비,509071
20220206,천안시 동남구,관광총소비,454860
20220207,천안시 동남구,관광총소비,276473
20220208,천안시 동남구,관광총소비,287036
20220209,천안시 동남구,관광총소비,321308
20220210,천안시 동남구,관광총소비,326388
20220211,천안시 동남구,관광총소비,400346
20220212,천안시 동남구,관광총소비,580191
20220213,천안시 동남구,관광총소비,482461
20220214,천안시 동남구,관광총소비,292616
20220215,천안시 동남구,관광총소비,295602
20220216,천안시 동남구,관광총소비,263242
20220217,천안시 동남구,관광총소비,295825
20220218,천안시 동남구,관광총소비,410997
20220219,천안시 동남구,관광총소비,614124
20220220,천안시 동남구,관광총소비,557391
20220221,천안시 동남구,관광총소비,327588
20220222,천안시 동남구,관광총소비,313847
20220223,천안시 동남구,관광총소비,326899
20220224,천안시 동남구,관광총소비,361138
20220225,천안시 동남구,관광총소비,391581
20220226,천안시 동남구,관광총소비,664569
20220227,천안시 동남구,관광총소비,636163
20220228,천안시 동남구,관광총소비,446714
20220201,천안시 동남구,콘도,13215
20220201,천안시 동남구,캠핑장/펜션,114
20220201,천안시 동남구,기타숙박,3526
20220201,천안시 동남구,레저용품쇼핑,1709
