정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,Coordinates,Within 1km
CAB285000527,직산역입구,36.87085795,127.14828574,2023-10-16,526.0,34010,충청남도 천안시,천안,"(36.87085795, 127.14828574)",No
CAB285000528,직산사거리,36.87592133,127.14654908,2023-10-16,528.0,34010,충청남도 천안시,천안,"(36.87592133, 127.14654908)",No
CAB285000529,직산사거리,36.877409,127.146589,2023-10-16,529.0,34010,충청남도 천안시,천안,"(36.877409, 127.146589)",No
CAB285000530,직산읍행정복지센터,36.87710178,127.14963311,2023-10-16,530.0,34010,충청남도 천안시,천안,"(36.87710178, 127.14963311)",No
CAB285000531,서북구청,36.87742966,127.15347574,2023-10-16,531.0,34010,충청남도 천안시,천안,"(36.87742966, 127.15347574)",No
CAB285000532,서북구청,36.87731752,127.15435487,2023-10-16,532.0,34010,충청남도 천안시,천안,"(36.87731752, 127.15435487)",No
CAB285000533,벽산아파트,36.87787275,127.15790269,2023-10-16,533.0,34010,충청남도 천안시,천안,"(36.87787275, 127.15790269)",No
CAB285000534,삼환나우빌,36.87770794,127.15817574,2023-10-16,534.0,34010,충청남도 천안시,천안,"(36.87770794, 127.15817574)",No
CAB285000535,성환부영아파트,36.90360912,127.1360201,2023-10-16,535.0,34010,충청남도 천안시,천안,"(36.90360912, 127.1360201)",No
CAB285000536,성환부영아파트,36.90330791,127.13581452,2023-10-16,536.0,34010,충청남도 천안시,천안,"(36.90330791, 127.13581452)",No
CAB285000537,중앙아파트,36.91143577,127.13099534,2023-10-16,537.0,34010,충청남도 천안시,천안,"(36.91143577, 127.13099534)",No
CAB285000538,삼풍아파트,36.91157628,127.13099408,2023-10-16,538.0,34010,충청남도 천안시,천안,"(36.91157628, 127.13099408)",No
CAB285000539,매주1리,36.90985781,127.12918676,2023-10-16,539.0,34010,충청남도 천안시,천안,"(36.90985781, 127.12918676)",No
CAB285000540,매주리혜성아파트,36.90849844,127.12901973,2023-10-16,540.0,34010,충청남도 천안시,천안,"(36.90849844, 127.12901973)",No
CAB285000541,동성중학교,36.90669627,127.12851074,2023-10-16,541.0,34010,충청남도 천안시,천안,"(36.90669627, 127.12851074)",No
CAB285000543,남서울대학교,36.91168497,127.14283094,2023-10-16,543.0,34010,충청남도 천안시,천안,"(36.91168497, 127.14283094)",No
CAB285000544,남서울대학교,36.91186903,127.14209984,2023-10-16,544.0,34010,충청남도 천안시,천안,"(36.91186903, 127.14209984)",No
CAB285000545,남서울대학교 주차장,36.9105701,127.1426169,2023-10-16,545.0,34010,충청남도 천안시,천안,"(36.9105701, 127.1426169)",No
CAB285000546,군동1리공장입구,36.90939215,127.15333049,2023-10-16,546.0,34010,충청남도 천안시,천안,"(36.90939215, 127.15333049)",No
CAB285000547,군동1리마을입구,36.90515272,127.16477839,2023-10-16,547.0,34010,충청남도 천안시,천안,"(36.90515272, 127.16477839)",No
CAB285000548,판정2리(산직촌),36.90905464,127.17222241,2023-10-16,548.0,34010,충청남도 천안시,천안,"(36.90905464, 127.17222241)",No
CAB285000549,판정2리(산직촌),36.90924218,127.17279646,2023-10-16,549.0,34010,충청남도 천안시,천안,"(36.90924218, 127.17279646)",No
CAB285000550,등대의집,36.91064963,127.17733407,2023-10-16,550.0,34010,충청남도 천안시,천안,"(36.91064963, 127.17733407)",No
CAB285000551,판정1리,36.91079293,127.18197741,2023-10-16,551.0,34010,충청남도 천안시,천안,"(36.91079293, 127.18197741)",No
CAB285000552,판정리,36.9106586,127.18544113,2023-10-16,552.0,34010,충청남도 천안시,천안,"(36.9106586, 127.18544113)",No
CAB285000554,모전리,36.9009099,127.1942346,2023-10-16,554.0,34010,충청남도 천안시,천안,"(36.9009099, 127.1942346)",No
CAB285000555,여송산업,36.89225293,127.19499074,2023-10-16,555.0,34010,충청남도 천안시,천안,"(36.89225293, 127.19499074)",No
CAB285000556,정촌리,36.88665679,127.19304216,2023-10-16,556.0,34010,충청남도 천안시,천안,"(36.88665679, 127.19304216)",No
CAB285000557,문덕리,36.87907131,127.18099241,2023-10-16,557.0,34010,충청남도 천안시,천안,"(36.87907131, 127.18099241)",No
CAB285000558,성거하늘빛아파트,36.87722964,127.18188476,2023-10-16,558.0,34010,충청남도 천안시,천안,"(36.87722964, 127.18188476)",No
CAB285000559,거봉주유소,36.8777821,127.1872722,2023-10-16,559.0,34010,충청남도 천안시,천안,"(36.8777821, 127.1872722)",No
CAB285000560,남창마을,36.86574295,127.19404074,2023-10-16,560.0,34010,충청남도 천안시,천안,"(36.86574295, 127.19404074)",No
CAB285000561,남창마을,36.86587799,127.19450907,2023-10-16,561.0,34010,충청남도 천안시,천안,"(36.86587799, 127.19450907)",No
CAB285000562,충남예술고등학교,36.86934631,127.19891575,2023-10-16,562.0,34010,충청남도 천안시,천안,"(36.86934631, 127.19891575)",No
CAB285000563,충남예술고등학교,36.8692463,127.19904907,2023-10-16,563.0,34010,충청남도 천안시,천안,"(36.8692463, 127.19904907)",No
CAB285000564,성거초등학교,36.8709392,127.20000178,2023-10-16,564.0,34010,충청남도 천안시,천안,"(36.8709392, 127.20000178)",No
CAB285000565,삼일아파트,36.87435965,127.20176407,2023-10-16,565.0,34010,충청남도 천안시,천안,"(36.87435965, 127.20176407)",No
CAB285000566,아느칸빌아파트,36.88042127,127.20590574,2023-10-16,566.0,34010,충청남도 천안시,천안,"(36.88042127, 127.20590574)",No
CAB285000567,아느칸빌아파트,36.88053864,127.20581261,2023-10-16,567.0,34010,충청남도 천안시,천안,"(36.88053864, 127.20581261)",No
CAB285000568,천흥공단,36.88340296,127.20664075,2023-10-16,568.0,34010,충청남도 천안시,천안,"(36.88340296, 127.20664075)",No
